entity:builds_id	active_builds	stage_url	url
algeria	algeria	nextstrain.org/groups/africa-cdc/ncov/stage/algeria	nextstrain.org/groups/africa-cdc/ncov/algeria
angola	angola	nextstrain.org/groups/africa-cdc/ncov/stage/angola	nextstrain.org/groups/africa-cdc/ncov/angola
benin	benin	nextstrain.org/groups/africa-cdc/ncov/stage/benin	nextstrain.org/groups/africa-cdc/ncov/benin
botswana	botswana	nextstrain.org/groups/africa-cdc/ncov/stage/botswana	nextstrain.org/groups/africa-cdc/ncov/botswana
burkina-faso	burkina-faso	nextstrain.org/groups/africa-cdc/ncov/stage/burkina-faso	nextstrain.org/groups/africa-cdc/ncov/burkina-faso
burundi	burundi	nextstrain.org/groups/africa-cdc/ncov/stage/burundi	nextstrain.org/groups/africa-cdc/ncov/burundi
cabo-verde	cabo-verde	nextstrain.org/groups/africa-cdc/ncov/stage/cabo-verde	nextstrain.org/groups/africa-cdc/ncov/cabo-verde
cameroon	cameroon	nextstrain.org/groups/africa-cdc/ncov/stage/cameroon	nextstrain.org/groups/africa-cdc/ncov/cameroon
central-africa	central-africa	nextstrain.org/groups/africa-cdc/ncov/stage/central-africa	nextstrain.org/groups/africa-cdc/ncov/central-africa
central-african-republic	central-african-republic	nextstrain.org/groups/africa-cdc/ncov/stage/central-african-republic	nextstrain.org/groups/africa-cdc/ncov/central-african-republic
chad	chad	nextstrain.org/groups/africa-cdc/ncov/stage/chad	nextstrain.org/groups/africa-cdc/ncov/chad
cote-divoire	cote-divoire	nextstrain.org/groups/africa-cdc/ncov/stage/cote-divoire	nextstrain.org/groups/africa-cdc/ncov/cote-divoire
democratic-republic-of-the-congo	democratic-republic-of-the-congo	nextstrain.org/groups/africa-cdc/ncov/stage/democratic-republic-of-the-congo	nextstrain.org/groups/africa-cdc/ncov/democratic-republic-of-the-congo
djibouti	djibouti	nextstrain.org/groups/africa-cdc/ncov/stage/djibouti	nextstrain.org/groups/africa-cdc/ncov/djibouti
eastern-africa	eastern-africa	nextstrain.org/groups/africa-cdc/ncov/stage/eastern-africa	nextstrain.org/groups/africa-cdc/ncov/eastern-africa
egypt	egypt	nextstrain.org/groups/africa-cdc/ncov/stage/egypt	nextstrain.org/groups/africa-cdc/ncov/egypt
equatorial-guinea	equatorial-guinea	nextstrain.org/groups/africa-cdc/ncov/stage/equatorial-guinea	nextstrain.org/groups/africa-cdc/ncov/equatorial-guinea
eswatini	eswatini	nextstrain.org/groups/africa-cdc/ncov/stage/eswatini	nextstrain.org/groups/africa-cdc/ncov/eswatini
ethiopia	ethiopia	nextstrain.org/groups/africa-cdc/ncov/stage/ethiopia	nextstrain.org/groups/africa-cdc/ncov/ethiopia
gabon	gabon	nextstrain.org/groups/africa-cdc/ncov/stage/gabon	nextstrain.org/groups/africa-cdc/ncov/gabon
gambia	gambia	nextstrain.org/groups/africa-cdc/ncov/stage/gambia	nextstrain.org/groups/africa-cdc/ncov/gambia
ghana	ghana	nextstrain.org/groups/africa-cdc/ncov/stage/ghana	nextstrain.org/groups/africa-cdc/ncov/ghana
guinea	guinea	nextstrain.org/groups/africa-cdc/ncov/stage/guinea	nextstrain.org/groups/africa-cdc/ncov/guinea
guinea-bissau	guinea-bissau	nextstrain.org/groups/africa-cdc/ncov/stage/guinea-bissau	nextstrain.org/groups/africa-cdc/ncov/guinea-bissau
kenya	kenya	nextstrain.org/groups/africa-cdc/ncov/stage/kenya	nextstrain.org/groups/africa-cdc/ncov/kenya
lesotho	lesotho	nextstrain.org/groups/africa-cdc/ncov/stage/lesotho	nextstrain.org/groups/africa-cdc/ncov/lesotho
liberia	liberia	nextstrain.org/groups/africa-cdc/ncov/stage/liberia	nextstrain.org/groups/africa-cdc/ncov/liberia
libya	libya	nextstrain.org/groups/africa-cdc/ncov/stage/libya	nextstrain.org/groups/africa-cdc/ncov/libya
madagascar	madagascar	nextstrain.org/groups/africa-cdc/ncov/stage/madagascar	nextstrain.org/groups/africa-cdc/ncov/madagascar
malawi	malawi	nextstrain.org/groups/africa-cdc/ncov/stage/malawi	nextstrain.org/groups/africa-cdc/ncov/malawi
mali	mali	nextstrain.org/groups/africa-cdc/ncov/stage/mali	nextstrain.org/groups/africa-cdc/ncov/mali
mauritius	mauritius	nextstrain.org/groups/africa-cdc/ncov/stage/mauritius	nextstrain.org/groups/africa-cdc/ncov/mauritius
morocco	morocco	nextstrain.org/groups/africa-cdc/ncov/stage/morocco	nextstrain.org/groups/africa-cdc/ncov/morocco
mozambique	mozambique	nextstrain.org/groups/africa-cdc/ncov/stage/mozambique	nextstrain.org/groups/africa-cdc/ncov/mozambique
namibia	namibia	nextstrain.org/groups/africa-cdc/ncov/stage/namibia	nextstrain.org/groups/africa-cdc/ncov/namibia
niger	niger	nextstrain.org/groups/africa-cdc/ncov/stage/niger	nextstrain.org/groups/africa-cdc/ncov/niger
nigeria	nigeria	nextstrain.org/groups/africa-cdc/ncov/stage/nigeria	nextstrain.org/groups/africa-cdc/ncov/nigeria
northern-africa	northern-africa	nextstrain.org/groups/africa-cdc/ncov/stage/northern-africa	nextstrain.org/groups/africa-cdc/ncov/northern-africa
republic-of-the-congo	republic-of-the-congo	nextstrain.org/groups/africa-cdc/ncov/stage/republic-of-the-congo	nextstrain.org/groups/africa-cdc/ncov/republic-of-the-congo
rwanda	rwanda	nextstrain.org/groups/africa-cdc/ncov/stage/rwanda	nextstrain.org/groups/africa-cdc/ncov/rwanda
senegal	senegal	nextstrain.org/groups/africa-cdc/ncov/stage/senegal	nextstrain.org/groups/africa-cdc/ncov/senegal
seychelles	seychelles	nextstrain.org/groups/africa-cdc/ncov/stage/seychelles	nextstrain.org/groups/africa-cdc/ncov/seychelles
sierra-leone	sierra-leone	nextstrain.org/groups/africa-cdc/ncov/stage/sierra-leone	nextstrain.org/groups/africa-cdc/ncov/sierra-leone
somalia	somalia	nextstrain.org/groups/africa-cdc/ncov/stage/somalia	nextstrain.org/groups/africa-cdc/ncov/somalia
south-africa	south-africa	nextstrain.org/groups/africa-cdc/ncov/stage/south-africa	nextstrain.org/groups/africa-cdc/ncov/south-africa
south-sudan	south-sudan	nextstrain.org/groups/africa-cdc/ncov/stage/south-sudan	nextstrain.org/groups/africa-cdc/ncov/south-sudan
southern-africa	southern-africa	nextstrain.org/groups/africa-cdc/ncov/stage/southern-africa	nextstrain.org/groups/africa-cdc/ncov/southern-africa
sudan	sudan	nextstrain.org/groups/africa-cdc/ncov/stage/sudan	nextstrain.org/groups/africa-cdc/ncov/sudan
togo	togo	nextstrain.org/groups/africa-cdc/ncov/stage/togo	nextstrain.org/groups/africa-cdc/ncov/togo
tunisia	tunisia	nextstrain.org/groups/africa-cdc/ncov/stage/tunisia	nextstrain.org/groups/africa-cdc/ncov/tunisia
uganda	uganda	nextstrain.org/groups/africa-cdc/ncov/stage/uganda	nextstrain.org/groups/africa-cdc/ncov/uganda
union-of-the-comoros	union-of-the-comoros	nextstrain.org/groups/africa-cdc/ncov/stage/union-of-the-comoros	nextstrain.org/groups/africa-cdc/ncov/union-of-the-comoros
western-africa	western-africa	nextstrain.org/groups/africa-cdc/ncov/stage/western-africa	nextstrain.org/groups/africa-cdc/ncov/western-africa
zambia	zambia	nextstrain.org/groups/africa-cdc/ncov/stage/zambia	nextstrain.org/groups/africa-cdc/ncov/zambia
zimbabwe	zimbabwe	nextstrain.org/groups/africa-cdc/ncov/stage/zimbabwe	nextstrain.org/groups/africa-cdc/ncov/zimbabwe
